"id";"address";"latitude";"longitude";"created_at";"updated_at"
105;"Boulevard Las Cañadas, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.19129440974414";"-66.30950689315797";"2025-05-06 13:06:51";"2025-05-06 13:06:51"
106;"Autopista 25 de Mayo, Aguadita del Portezuelo, Villa Aguadita del Portezuelo, San Luis, Municipio de San Luis, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.220020575634635";"-66.29347801208498";"2025-05-06 13:10:31";"2025-05-06 13:10:31"
107;"Boulevard Tobar García, Área Comercial La Punta, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.179962936520646";"-66.30205035209657";"2025-05-06 13:12:28";"2025-05-06 13:12:28"
108;"Calle 5 Sur, Área Comercial La Punta, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.189085695582634";"-66.32349729537965";"2025-05-06 13:14:55";"2025-05-06 13:14:55"
109;"Barrio UOCRA, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, 5710, Argentina";"-33.175760401175644";"-66.32172703742982";"2025-05-06 13:16:22";"2025-05-06 13:16:22"
110;"La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.17118048574664";"-66.31210327148439";"2025-05-06 13:19:56";"2025-05-06 13:19:56"
111;"Hipólito Yrigoyen, La Toma, Municipio de La Toma, Coronel Pringles, San Luis, 5750, Argentina";"-33.05348452409844";"-65.62435269355775";"2025-05-06 13:29:17";"2025-05-06 13:29:17"
112;"Balcarce, La Toma, Municipio de La Toma, Coronel Pringles, San Luis, 5750, Argentina";"-33.05602936495092";"-65.61828017234804";"2025-05-06 13:31:19";"2025-05-06 13:31:19"
113;"Ruta Provincial 2, La Toma, Municipio de La Toma, Coronel Pringles, San Luis, 5750, Argentina";"-33.046802842756556";"-65.62363386154176";"2025-05-06 13:32:33";"2025-05-06 13:32:33"
114;"Las Heras, La Toma, Municipio de La Toma, Coronel Pringles, San Luis, 5750, Argentina";"-33.05093960969037";"-65.62144517898561";"2025-05-06 13:34:40";"2025-05-06 13:34:40"
115;"Comisión Municipal de El Volcán, Juan Martín de Pueyrredón, San Luis, Argentina";"-33.27550717106998";"-66.15897059440614";"2025-05-06 13:37:25";"2025-05-06 13:37:25"
116;"Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, Argentina";"-33.27450255246586";"-66.17850780487062";"2025-05-06 13:38:52";"2025-05-06 13:38:52"
117;"Luján, Municipio de Luján, Ayacucho, San Luis, Argentina";"-32.36557198134072";"-65.93586444854738";"2025-05-06 13:43:40";"2025-05-06 13:43:40"
118;"Luján, Municipio de Luján, Ayacucho, San Luis, Argentina";"-32.36739344682092";"-65.94256997108461";"2025-05-06 14:11:51";"2025-05-06 14:11:51"
119;"Luján, Municipio de Luján, Ayacucho, San Luis, Argentina";"-32.362948462832954";"-65.94479620456697";"2025-05-06 14:14:16";"2025-05-06 14:14:16"
120;"Ruta Provincial 3, Nogolí, Comisión Municipal de Nogolí, Belgrano, San Luis, Argentina";"-32.91826860976804";"-66.3252353668213";"2025-05-06 14:16:35";"2025-05-06 14:16:35"
121;"Ruta Provincial 3, Nogolí, Comisión Municipal de Nogolí, Belgrano, San Luis, Argentina";"-32.91439582236248";"-66.32291793823244";"2025-05-06 14:18:12";"2025-05-06 14:18:12"
